index,resolution,aspect_ratio,orientation,scale,expected_output_width,expected_output_height,actual_output_width,actual_output_height,output_ok,expected_target_width,expected_target_height,actual_target_width,actual_target_height,target_ok,prompt_id
1,1K,1:1,Landscape,1.0,1024,1024,1024,1024,true,1024,1024,1024,1024,true,8c7e11df-7902-448d-8dc3-792cb1f5dd4b
2,1K,1:1,Landscape,1.1,936,936,936,936,true,1030,1030,1030,1030,true,e6f233d7-3b6e-458f-a91f-18bbf3fb9930
3,1K,1:1,Landscape,1.2,856,856,856,856,true,1027,1027,1027,1027,true,b4dbdd08-cd0a-4c7c-a123-f3ff3c7010f9
4,1K,1:1,Landscape,1.3,792,792,792,792,true,1030,1030,1030,1030,true,87401b76-7c6c-4cdf-9703-62c3b420ec41
5,1K,1:1,Landscape,1.4,736,736,736,736,true,1030,1030,1030,1030,true,450d7ecf-dd80-46ea-b8e4-b55c325ea292
6,1K,1:1,Landscape,1.5,688,688,688,688,true,1032,1032,1032,1032,true,690b51cd-f6b0-4b23-801f-746311d35d7e
7,1K,1:1,Landscape,1.6,640,640,640,640,true,1024,1024,1024,1024,true,2574e6e3-196e-4a69-9cdd-ad752b54cb3c
8,1K,1:1,Landscape,1.7,608,608,608,608,true,1034,1034,1034,1034,true,406e5dae-989a-4f82-b5ef-f92332bcaa64
9,1K,1:1,Landscape,1.8,576,576,576,576,true,1037,1037,1037,1037,true,442d94be-cf8a-468b-bc1f-1590a19f120d
10,1K,1:1,Landscape,1.9,544,544,544,544,true,1034,1034,1034,1034,true,2f109946-aef6-4cc0-bb17-11e294a14f8f
11,1K,1:1,Landscape,2.0,512,512,512,512,true,1024,1024,1024,1024,true,06e00336-e889-432c-b43b-38a9fcf60f4b
12,1K,1:1,Portrait,1.0,1024,1024,1024,1024,true,1024,1024,1024,1024,true,de63c71e-e762-4a6b-b4d5-47db60a98132
13,1K,1:1,Portrait,1.1,936,936,936,936,true,1030,1030,1030,1030,true,be25e6c0-f270-444e-9f43-eecd85ceda2e
14,1K,1:1,Portrait,1.2,856,856,856,856,true,1027,1027,1027,1027,true,1b8d5b9a-4685-493e-9262-deee433d40b0
15,1K,1:1,Portrait,1.3,792,792,792,792,true,1030,1030,1030,1030,true,e9ee9478-e5f0-46bd-9ca1-92ba10e09495
16,1K,1:1,Portrait,1.4,736,736,736,736,true,1030,1030,1030,1030,true,487c37e0-e174-447d-819f-5604ce160987
17,1K,1:1,Portrait,1.5,688,688,688,688,true,1032,1032,1032,1032,true,2aa4a844-d25c-465a-a26a-eb60fdcc3807
18,1K,1:1,Portrait,1.6,640,640,640,640,true,1024,1024,1024,1024,true,71940142-f281-46f2-807f-b601f69e95c3
19,1K,1:1,Portrait,1.7,608,608,608,608,true,1034,1034,1034,1034,true,c05dcf09-cf00-4659-b1b3-5d90ecadec30
20,1K,1:1,Portrait,1.8,576,576,576,576,true,1037,1037,1037,1037,true,714f4218-2b6b-4a59-8cb3-4447df24d899
21,1K,1:1,Portrait,1.9,544,544,544,544,true,1034,1034,1034,1034,true,b20b4fa6-6500-40e8-8404-dd70ece4d4b1
22,1K,1:1,Portrait,2.0,512,512,512,512,true,1024,1024,1024,1024,true,98866d58-aa78-487c-8a75-f98c991473ca
23,1K,2:3,Landscape,1.0,1920,1280,1920,1280,true,1920,1280,1920,1280,true,77265fef-b3e1-4345-9092-ce66c876e2c4
24,1K,2:3,Landscape,1.1,1752,1168,1752,1168,true,1927,1285,1927,1285,true,0a6b261f-2353-4768-bb03-2c8eb4d64331
25,1K,2:3,Landscape,1.2,1600,1072,1600,1072,true,1920,1286,1920,1286,true,b9385ee7-4822-4be5-9cbc-88c39d753ba9
26,1K,2:3,Landscape,1.3,1480,992,1480,992,true,1924,1290,1924,1290,true,815f68d2-1431-4a59-9b49-d55ffbddff7b
27,1K,2:3,Landscape,1.4,1376,920,1376,920,true,1926,1288,1926,1288,true,3bd354c3-938c-4cf7-8b85-63fddad76e1c
28,1K,2:3,Landscape,1.5,1280,856,1280,856,true,1920,1284,1920,1284,true,ef50612a-d3ef-4b2d-8691-ba4f3a26a18e
