resolution,aspect_ratio,orientation,scale,raw_width_after_scale,raw_height_after_scale,output_width,output_height,width_delta,height_delta,rounded_axes
1K,1:1,Landscape,1.1,930.909091,930.909091,928,928,-2.909091,-2.909091,width+height
1K,1:1,Landscape,1.2,853.333333,853.333333,848,848,-5.333333,-5.333333,width+height
1K,1:1,Landscape,1.3,787.692308,787.692308,784,784,-3.692308,-3.692308,width+height
1K,1:1,Landscape,1.4,731.428571,731.428571,736,736,4.571429,4.571429,width+height
1K,1:1,Landscape,1.5,682.666667,682.666667,688,688,5.333333,5.333333,width+height
1K,1:1,Landscape,1.7,602.352941,602.352941,608,608,5.647059,5.647059,width+height
1K,1:1,Landscape,1.8,568.888889,568.888889,576,576,7.111111,7.111111,width+height
1K,1:1,Landscape,1.9,538.947368,538.947368,544,544,5.052632,5.052632,width+height
1K,1:1,Portrait,1.1,930.909091,930.909091,928,928,-2.909091,-2.909091,width+height
1K,1:1,Portrait,1.2,853.333333,853.333333,848,848,-5.333333,-5.333333,width+height
1K,1:1,Portrait,1.3,787.692308,787.692308,784,784,-3.692308,-3.692308,width+height
1K,1:1,Portrait,1.4,731.428571,731.428571,736,736,4.571429,4.571429,width+height
1K,1:1,Portrait,1.5,682.666667,682.666667,688,688,5.333333,5.333333,width+height
1K,1:1,Portrait,1.7,602.352941,602.352941,608,608,5.647059,5.647059,width+height
1K,1:1,Portrait,1.8,568.888889,568.888889,576,576,7.111111,7.111111,width+height
1K,1:1,Portrait,1.9,538.947368,538.947368,544,544,5.052632,5.052632,width+height
1K,2:3,Landscape,1.1,1745.454545,1163.636364,1744,1168,-1.454545,4.363636,width+height
1K,2:3,Landscape,1.2,1600.000000,1066.666667,1600,1072,0.000000,5.333333,height
1K,2:3,Landscape,1.3,1476.923077,984.615385,1472,992,-4.923077,7.384615,width+height
1K,2:3,Landscape,1.4,1371.428571,914.285714,1376,912,4.571429,-2.285714,width+height
1K,2:3,Landscape,1.5,1280.000000,853.333333,1280,848,0.000000,-5.333333,height
1K,2:3,Landscape,1.7,1129.411765,752.941176,1136,752,6.588235,-0.941176,width+height
1K,2:3,Landscape,1.8,1066.666667,711.111111,1072,704,5.333333,-7.111111,width+height
1K,2:3,Landscape,1.9,1010.526316,673.684211,1008,672,-2.526316,-1.684211,width+height
1K,2:3,Portrait,1.1,1163.636364,1745.454545,1168,1744,4.363636,-1.454545,width+height
1K,2:3,Portrait,1.2,1066.666667,1600.000000,1072,1600,5.333333,0.000000,width
1K,2:3,Portrait,1.3,984.615385,1476.923077,992,1472,7.384615,-4.923077,width+height
1K,2:3,Portrait,1.4,914.285714,1371.428571,912,1376,-2.285714,4.571429,width+height
1K,2:3,Portrait,1.5,853.333333,1280.000000,848,1280,-5.333333,0.000000,width
1K,2:3,Portrait,1.7,752.941176,1129.411765,752,1136,-0.941176,6.588235,width+height
1K,2:3,Portrait,1.8,711.111111,1066.666667,704,1072,-7.111111,5.333333,width+height
1K,2:3,Portrait,1.9,673.684211,1010.526316,672,1008,-1.684211,-2.526316,width+height
1K,3:4,Landscape,1.1,1745.454545,1309.090909,1744,1312,-1.454545,2.909091,width+height
1K,3:4,Landscape,1.3,1476.923077,1107.692308,1472,1104,-4.923077,-3.692308,width+height
1K,3:4,Landscape,1.4,1371.428571,1028.571429,1376,1024,4.571429,-4.571429,width+height
1K,3:4,Landscape,1.6,1200.000000,900.000000,1200,896,0.000000,-4.000000,height
1K,3:4,Landscape,1.7,1129.411765,847.058824,1136,848,6.588235,0.941176,width+height
1K,3:4,Landscape,1.8,1066.666667,800.000000,1072,800,5.333333,0.000000,width
1K,3:4,Landscape,1.9,1010.526316,757.894737,1008,752,-2.526316,-5.894737,width+height
1K,3:4,Portrait,1.1,1309.090909,1745.454545,1312,1744,2.909091,-1.454545,width+height
1K,3:4,Portrait,1.3,1107.692308,1476.923077,1104,1472,-3.692308,-4.923077,width+height
1K,3:4,Portrait,1.4,1028.571429,1371.428571,1024,1376,-4.571429,4.571429,width+height
1K,3:4,Portrait,1.6,900.000000,1200.000000,896,1200,-4.000000,0.000000,width
1K,3:4,Portrait,1.7,847.058824,1129.411765,848,1136,0.941176,6.588235,width+height
1K,3:4,Portrait,1.8,800.000000,1066.666667,800,1072,0.000000,5.333333,height
1K,3:4,Portrait,1.9,757.894737,1010.526316,752,1008,-5.894737,-2.526316,width+height
1K,16:9,Landscape,1.0,1920.000000,1080.000000,1920,1088,0.000000,8.000000,height
1K,16:9,Landscape,1.1,1745.454545,981.818182,1744,976,-1.454545,-5.818182,width+height
1K,16:9,Landscape,1.2,1600.000000,900.000000,1600,896,0.000000,-4.000000,height
1K,16:9,Landscape,1.3,1476.923077,830.769231,1472,832,-4.923077,1.230769,width+height
1K,16:9,Landscape,1.4,1371.428571,771.428571,1376,768,4.571429,-3.428571,width+height
1K,16:9,Landscape,1.6,1200.000000,675.000000,1200,672,0.000000,-3.000000,height
1K,16:9,Landscape,1.7,1129.411765,635.294118,1136,640,6.588235,4.705882,width+height
1K,16:9,Landscape,1.8,1066.666667,600.000000,1072,608,5.333333,8.000000,width+height
1K,16:9,Landscape,1.9,1010.526316,568.421053,1008,576,-2.526316,7.578947,width+height
1K,16:9,Landscape,2.0,960.000000,540.000000,960,544,0.000000,4.000000,height
1K,16:9,Portrait,1.0,1080.000000,1920.000000,1088,1920,8.000000,0.000000,width
1K,16:9,Portrait,1.1,981.818182,1745.454545,976,1744,-5.818182,-1.454545,width+height
1K,16:9,Portrait,1.2,900.000000,1600.000000,896,1600,-4.000000,0.000000,width
1K,16:9,Portrait,1.3,830.769231,1476.923077,832,1472,1.230769,-4.923077,width+height
1K,16:9,Portrait,1.4,771.428571,1371.428571,768,1376,-3.428571,4.571429,width+height
1K,16:9,Portrait,1.6,675.000000,1200.000000,672,1200,-3.000000,0.000000,width
1K,16:9,Portrait,1.7,635.294118,1129.411765,640,1136,4.705882,6.588235,width+height
1K,16:9,Portrait,1.8,600.000000,1066.666667,608,1072,8.000000,5.333333,width+height
1K,16:9,Portrait,1.9,568.421053,1010.526316,576,1008,7.578947,-2.526316,width+height
1K,16:9,Portrait,2.0,540.000000,960.000000,544,960,4.000000,0.000000,width
1K,21:9,Landscape,1.1,2327.272727,989.090909,2320,992,-7.272727,2.909091,width+height
1K,21:9,Landscape,1.2,2133.333333,906.666667,2128,912,-5.333333,5.333333,width+height
1K,21:9,Landscape,1.3,1969.230769,836.923077,1968,832,-1.230769,-4.923077,width+height
1K,21:9,Landscape,1.4,1828.571429,777.142857,1824,784,-4.571429,6.857143,width+height
1K,21:9,Landscape,1.5,1706.666667,725.333333,1712,720,5.333333,-5.333333,width+height
1K,21:9,Landscape,1.6,1600.000000,680.000000,1600,672,0.000000,-8.000000,height
1K,21:9,Landscape,1.7,1505.882353,640.000000,1504,640,-1.882353,0.000000,width
1K,21:9,Landscape,1.8,1422.222222,604.444444,1424,608,1.777778,3.555556,width+height
1K,21:9,Landscape,1.9,1347.368421,572.631579,1344,576,-3.368421,3.368421,width+height
1K,21:9,Portrait,1.1,989.090909,2327.272727,992,2320,2.909091,-7.272727,width+height
1K,21:9,Portrait,1.2,906.666667,2133.333333,912,2128,5.333333,-5.333333,width+height
1K,21:9,Portrait,1.3,836.923077,1969.230769,832,1968,-4.923077,-1.230769,width+height
1K,21:9,Portrait,1.4,777.142857,1828.571429,784,1824,6.857143,-4.571429,width+height
