resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
1K,1:1,Landscape,1.0,1024,1024,1024.000000,1024.000000,1024,1024,1024,1024,0,0,0,no,,0.000000,0.000000
1K,1:1,Landscape,1.1,1024,1024,930.909091,930.909091,928,928,1021,1021,-3,-3,"-3W, -3H",yes,width+height,-2.909091,-2.909091
1K,1:1,Landscape,1.2,1024,1024,853.333333,853.333333,848,848,1018,1018,-6,-6,"-6W, -6H",yes,width+height,-5.333333,-5.333333
1K,1:1,Landscape,1.3,1024,1024,787.692308,787.692308,784,784,1019,1019,-5,-5,"-5W, -5H",yes,width+height,-3.692308,-3.692308
1K,1:1,Landscape,1.4,1024,1024,731.428571,731.428571,736,736,1030,1030,6,6,"+6W, +6H",yes,width+height,4.571429,4.571429
1K,1:1,Landscape,1.5,1024,1024,682.666667,682.666667,688,688,1032,1032,8,8,"+8W, +8H",yes,width+height,5.333333,5.333333
1K,1:1,Landscape,1.6,1024,1024,640.000000,640.000000,640,640,1024,1024,0,0,0,no,,0.000000,0.000000
1K,1:1,Landscape,1.7,1024,1024,602.352941,602.352941,608,608,1034,1034,10,10,"+10W, +10H",yes,width+height,5.647059,5.647059
1K,1:1,Landscape,1.8,1024,1024,568.888889,568.888889,576,576,1037,1037,13,13,"+13W, +13H",yes,width+height,7.111111,7.111111
1K,1:1,Landscape,1.9,1024,1024,538.947368,538.947368,544,544,1034,1034,10,10,"+10W, +10H",yes,width+height,5.052632,5.052632
1K,1:1,Landscape,2.0,1024,1024,512.000000,512.000000,512,512,1024,1024,0,0,0,no,,0.000000,0.000000
1K,1:1,Portrait,1.0,1024,1024,1024.000000,1024.000000,1024,1024,1024,1024,0,0,0,no,,0.000000,0.000000
1K,1:1,Portrait,1.1,1024,1024,930.909091,930.909091,928,928,1021,1021,-3,-3,"-3W, -3H",yes,width+height,-2.909091,-2.909091
1K,1:1,Portrait,1.2,1024,1024,853.333333,853.333333,848,848,1018,1018,-6,-6,"-6W, -6H",yes,width+height,-5.333333,-5.333333
1K,1:1,Portrait,1.3,1024,1024,787.692308,787.692308,784,784,1019,1019,-5,-5,"-5W, -5H",yes,width+height,-3.692308,-3.692308
1K,1:1,Portrait,1.4,1024,1024,731.428571,731.428571,736,736,1030,1030,6,6,"+6W, +6H",yes,width+height,4.571429,4.571429
1K,1:1,Portrait,1.5,1024,1024,682.666667,682.666667,688,688,1032,1032,8,8,"+8W, +8H",yes,width+height,5.333333,5.333333
1K,1:1,Portrait,1.6,1024,1024,640.000000,640.000000,640,640,1024,1024,0,0,0,no,,0.000000,0.000000
1K,1:1,Portrait,1.7,1024,1024,602.352941,602.352941,608,608,1034,1034,10,10,"+10W, +10H",yes,width+height,5.647059,5.647059
1K,1:1,Portrait,1.8,1024,1024,568.888889,568.888889,576,576,1037,1037,13,13,"+13W, +13H",yes,width+height,7.111111,7.111111
1K,1:1,Portrait,1.9,1024,1024,538.947368,538.947368,544,544,1034,1034,10,10,"+10W, +10H",yes,width+height,5.052632,5.052632
1K,1:1,Portrait,2.0,1024,1024,512.000000,512.000000,512,512,1024,1024,0,0,0,no,,0.000000,0.000000
1K,2:3,Landscape,1.0,1920,1280,1920.000000,1280.000000,1920,1280,1920,1280,0,0,0,no,,0.000000,0.000000
1K,2:3,Landscape,1.1,1920,1280,1745.454545,1163.636364,1744,1168,1918,1285,-2,5,"-2W, +5H",yes,width+height,-1.454545,4.363636
1K,2:3,Landscape,1.2,1920,1280,1600.000000,1066.666667,1600,1072,1920,1286,0,6,+6H,yes,height,0.000000,5.333333
1K,2:3,Landscape,1.3,1920,1280,1476.923077,984.615385,1472,992,1914,1290,-6,10,"-6W, +10H",yes,width+height,-4.923077,7.384615
1K,2:3,Landscape,1.4,1920,1280,1371.428571,914.285714,1376,912,1926,1277,6,-3,"+6W, -3H",yes,width+height,4.571429,-2.285714
1K,2:3,Landscape,1.5,1920,1280,1280.000000,853.333333,1280,848,1920,1272,0,-8,-8H,yes,height,0.000000,-5.333333
1K,2:3,Landscape,1.6,1920,1280,1200.000000,800.000000,1200,800,1920,1280,0,0,0,no,,0.000000,0.000000
1K,2:3,Landscape,1.7,1920,1280,1129.411765,752.941176,1136,752,1931,1278,11,-2,"+11W, -2H",yes,width+height,6.588235,-0.941176
1K,2:3,Landscape,1.8,1920,1280,1066.666667,711.111111,1072,704,1930,1267,10,-13,"+10W, -13H",yes,width+height,5.333333,-7.111111
1K,2:3,Landscape,1.9,1920,1280,1010.526316,673.684211,1008,672,1915,1277,-5,-3,"-5W, -3H",yes,width+height,-2.526316,-1.684211
1K,2:3,Landscape,2.0,1920,1280,960.000000,640.000000,960,640,1920,1280,0,0,0,no,,0.000000,0.000000
1K,2:3,Portrait,1.0,1280,1920,1280.000000,1920.000000,1280,1920,1280,1920,0,0,0,no,,0.000000,0.000000
1K,2:3,Portrait,1.1,1280,1920,1163.636364,1745.454545,1168,1744,1285,1918,5,-2,"+5W, -2H",yes,width+height,4.363636,-1.454545
1K,2:3,Portrait,1.2,1280,1920,1066.666667,1600.000000,1072,1600,1286,1920,6,0,+6W,yes,width,5.333333,0.000000
1K,2:3,Portrait,1.3,1280,1920,984.615385,1476.923077,992,1472,1290,1914,10,-6,"+10W, -6H",yes,width+height,7.384615,-4.923077
1K,2:3,Portrait,1.4,1280,1920,914.285714,1371.428571,912,1376,1277,1926,-3,6,"-3W, +6H",yes,width+height,-2.285714,4.571429
1K,2:3,Portrait,1.5,1280,1920,853.333333,1280.000000,848,1280,1272,1920,-8,0,-8W,yes,width,-5.333333,0.000000
1K,2:3,Portrait,1.6,1280,1920,800.000000,1200.000000,800,1200,1280,1920,0,0,0,no,,0.000000,0.000000
1K,2:3,Portrait,1.7,1280,1920,752.941176,1129.411765,752,1136,1278,1931,-2,11,"-2W, +11H",yes,width+height,-0.941176,6.588235
1K,2:3,Portrait,1.8,1280,1920,711.111111,1066.666667,704,1072,1267,1930,-13,10,"-13W, +10H",yes,width+height,-7.111111,5.333333
1K,2:3,Portrait,1.9,1280,1920,673.684211,1010.526316,672,1008,1277,1915,-3,-5,"-3W, -5H",yes,width+height,-1.684211,-2.526316
