resolution,aspect_ratio,orientation,scale,output_width,output_height,target_width,target_height,expected_node_label
1K,1:1,Landscape,1.0,1024,1024,1024,1024,OUTPUT 1024x1024; TARGET 1024x1024
1K,1:1,Landscape,1.1,928,928,1021,1021,OUTPUT 928x928; TARGET 1021x1021
1K,1:1,Landscape,1.2,848,848,1018,1018,OUTPUT 848x848; TARGET 1018x1018
1K,1:1,Landscape,1.3,784,784,1019,1019,OUTPUT 784x784; TARGET 1019x1019
1K,1:1,Landscape,1.4,736,736,1030,1030,OUTPUT 736x736; TARGET 1030x1030
1K,1:1,Landscape,1.5,688,688,1032,1032,OUTPUT 688x688; TARGET 1032x1032
1K,1:1,Landscape,1.6,640,640,1024,1024,OUTPUT 640x640; TARGET 1024x1024
1K,1:1,Landscape,1.7,608,608,1034,1034,OUTPUT 608x608; TARGET 1034x1034
1K,1:1,Landscape,1.8,576,576,1037,1037,OUTPUT 576x576; TARGET 1037x1037
1K,1:1,Landscape,1.9,544,544,1034,1034,OUTPUT 544x544; TARGET 1034x1034
1K,1:1,Landscape,2.0,512,512,1024,1024,OUTPUT 512x512; TARGET 1024x1024
1K,1:1,Portrait,1.0,1024,1024,1024,1024,OUTPUT 1024x1024; TARGET 1024x1024
1K,1:1,Portrait,1.1,928,928,1021,1021,OUTPUT 928x928; TARGET 1021x1021
1K,1:1,Portrait,1.2,848,848,1018,1018,OUTPUT 848x848; TARGET 1018x1018
1K,1:1,Portrait,1.3,784,784,1019,1019,OUTPUT 784x784; TARGET 1019x1019
1K,1:1,Portrait,1.4,736,736,1030,1030,OUTPUT 736x736; TARGET 1030x1030
1K,1:1,Portrait,1.5,688,688,1032,1032,OUTPUT 688x688; TARGET 1032x1032
1K,1:1,Portrait,1.6,640,640,1024,1024,OUTPUT 640x640; TARGET 1024x1024
1K,1:1,Portrait,1.7,608,608,1034,1034,OUTPUT 608x608; TARGET 1034x1034
1K,1:1,Portrait,1.8,576,576,1037,1037,OUTPUT 576x576; TARGET 1037x1037
1K,1:1,Portrait,1.9,544,544,1034,1034,OUTPUT 544x544; TARGET 1034x1034
1K,1:1,Portrait,2.0,512,512,1024,1024,OUTPUT 512x512; TARGET 1024x1024
1K,2:3,Landscape,1.0,1920,1280,1920,1280,OUTPUT 1920x1280; TARGET 1920x1280
1K,2:3,Landscape,1.1,1744,1168,1918,1285,OUTPUT 1744x1168; TARGET 1918x1285
1K,2:3,Landscape,1.2,1600,1072,1920,1286,OUTPUT 1600x1072; TARGET 1920x1286
1K,2:3,Landscape,1.3,1472,992,1914,1290,OUTPUT 1472x992; TARGET 1914x1290
